"id","year","as_cafe","ac_cafe","p_cafe","mar_temp","aug_temp","mar_prec","aug_prec","dem","alt_d"
73352,2007,3110,2915,2249,20.6903225806452,19.9149193548387,73.8548387096774,51.0483870967742,1448.8514,0
73352,2008,2528,2149,1884.5,20.1568548387096,20.5040322580645,91.0645161290323,79.2217741935484,1448.8514,0
73352,2009,2427,2110,2321,20.5608870967742,20.9193548387096,146.120967741935,56.0443548387097,1448.8514,0
73352,2010,2584,1961,2672,22.3512096774194,20.3532258064516,25.6895161290323,32.8104838709677,1448.8514,0
73352,2011,2761,2400,2400.4929,20.578629032258,20.416129032258,126.713709677419,34.3306451612903,1448.8514,0
73352,2012,2127,2126,2126,20.45,20.6395161290322,90.0524193548387,27.116935483871,1448.8514,0
73352,2013,2126,1786,1551.0072,21.5084677419355,20.6116935483871,53.8145161290323,43.1532258064516,1448.8514,0
73408,2007,509,458,549,25.669592476489,25.4793103448276,112.35736677116,94.8150470219436,473.5741,0
73408,2008,608,517,797.375,24.8805642633229,25.5884012539185,148.062695924765,161.884012539185,473.5741,0
73408,2009,498,426,468.6,25.2388714733542,26.6040752351097,154.808777429467,58.5579937304075,473.5741,0
73408,2010,634,467,605,27.614420062696,25.9394984326019,41.153605015674,57.3448275862069,473.5741,0
73408,2011,677,579,247.6191,25.5652037617555,26.301880877743,122.021943573668,48.9467084639498,473.5741,0
73408,2012,416,356,338.2,25.9526645768025,26.5219435736677,88.0909090909091,33.8996865203762,473.5741,0
73408,2013,306,251,219.001,26.8416927899686,26.3799373040753,91.1442006269592,68.0815047021944,473.5741,0
73411,2007,8873,7586,10138,20.4187311178248,20.1583081570997,141.081570996979,126.800604229607,1599.4394,1
73411,2008,8790,7472,10460,19.5779456193353,20.1894259818731,181.259818731118,205.722054380665,1599.4394,1
73411,2009,8622,7284,8012.3999,20.0006042296072,21.2797583081571,190.401812688822,75.190332326284,1599.4394,1
73411,2010,8811,4000,3600,22.3148036253776,20.6912386706949,53.0634441087613,73.3202416918429,1599.4394,1
73411,2011,9416,7955,4233.9385,20.3214501510574,20.9489425981873,135.441087613293,58.5377643504532,1599.4394,1
73411,2012,18537,8734,8734.2402,20.6767371601209,21.2320241691843,103.084592145015,41.5981873111783,1599.4394,1
73411,2013,9908,7926,6844.0317,21.5528700906344,21.0785498489426,115.163141993958,82.3051359516616,1599.4394,1
73443,2007,810,679,952,24.8329479768786,24.9196531791907,152.933526011561,135.473988439306,642.9393,0
73443,2008,656,558,836,24.0349710982659,24.678612716763,184.147398843931,225.078034682081,642.9393,0
73443,2009,536,501,475.95,24.3534682080925,26.0355491329479,168.898843930636,72.9393063583815,642.9393,0
73443,2010,694,510,475.95,26.8176300578035,25.4150289017341,71.0838150289017,87.4190751445087,642.9393,0
73443,2011,741,693,291.2141,24.8419075144508,25.778612716763,118.838150289017,67.1936416184971,642.9393,0
73443,2012,568,501,475.95,25.3462427745665,26.0757225433526,105.28323699422,48.4190751445087,642.9393,0
73443,2013,552,397,283.0013,26.1170520231213,25.8404624277456,110.505780346821,99.742774566474,642.9393,0
73449,2007,572,410,473,25.0742489270386,24.3467811158798,57.1416309012876,41.1330472103004,633.5299,0
73449,2008,378,321,434.875,24.537339055794,24.9901287553648,75.6437768240343,68.2660944206009,633.5299,0
73449,2009,372,329,361.9,24.9163090128756,25.3974248927039,114.862660944206,43.1115879828326,633.5299,0
